"key","type","code"
"1000266","SetComputerNameA","SetComputerNameA(data)"
"1000267","IDENTIFIER","data"
"1000268","BLOCK",""
"1000269","printLine","printLine(\""Failure setting computer name\"")"
"1000270","LITERAL","\""Failure setting computer name\"""
"1000271","exit","exit(1)"
"1000272","LITERAL","1"
"1000273","METHOD_RETURN","void"
"1000274","METHOD","goodG2B"
"1000275","BLOCK",""
"1000276","LOCAL","data: char *"
"1000277","LOCAL","dataBuffer: char [ 100 ]"
"1000278","<operator>.assignment","dataBuffer[100] = \""\"""
"1000279","IDENTIFIER","dataBuffer"
"1000280","LITERAL","\""\"""
"1000281","<operator>.assignment","data = dataBuffer"
"1000282","IDENTIFIER","data"
"1000283","IDENTIFIER","dataBuffer"
"1000284","strcpy","strcpy(data, \""hostname\"")"
"1000285","IDENTIFIER","data"
"1000286","LITERAL","\""hostname\"""
"1000287","CONTROL_STRUCTURE","if (!SetComputerNameA(data))"
"1000288","<operator>.logicalNot","!SetComputerNameA(data)"
"1000289","SetComputerNameA","SetComputerNameA(data)"
"1000290","IDENTIFIER","data"
"1000291","BLOCK",""
"1000292","printLine","printLine(\""Failure setting computer name\"")"
"1000293","LITERAL","\""Failure setting computer name\"""
"1000294","exit","exit(1)"
"1000295","LITERAL","1"
"1000296","METHOD_RETURN","static void"
"219604096116566371","METHOD","goodG2B1"
"219604096116566372","BLOCK",""
"219604096116566373","LOCAL","data: char *"
"219604096116566374","LOCAL","dataBuffer: char [ 100 ]"
"219604096116566375","<operator>.assignment","dataBuffer[100] = \""\"""
"219604096116566376","IDENTIFIER","dataBuffer"
"219604096116566377","LITERAL","\""\"""
"219604096116566378","<operator>.assignment","data = dataBuffer"
"219604096116566379","IDENTIFIER","data"
"219604096116566380","IDENTIFIER","dataBuffer"
"219604096116566381","CONTROL_STRUCTURE","if(5!=5)"
"219604096116566382","<operator>.notEquals","5!=5"
"219604096116566383","LITERAL","5"
"219604096116566384","LITERAL","5"
"219604096116566385","BLOCK",""
"219604096116566386","printLine","printLine(\""Benign, fixed string\"")"
"219604096116566387","LITERAL","\""Benign, fixed string\"""
"219604096116566388","CONTROL_STRUCTURE","else"
"219604096116566389","BLOCK",""
"219604096116566390","strcpy","strcpy(data, \""hostname\"")"
"219604096116566391","IDENTIFIER","data"
"219604096116566392","LITERAL","\""hostname\"""
"219604096116566393","CONTROL_STRUCTURE","if (!SetComputerNameA(data))"
"219604096116566394","<operator>.logicalNot","!SetComputerNameA(data)"
"219604096116566395","SetComputerNameA","SetComputerNameA(data)"
"219604096116566396","IDENTIFIER","data"
"219604096116566397","BLOCK",""
"219604096116566398","printLine","printLine(\""Failure setting computer name\"")"
"219604096116566399","LITERAL","\""Failure setting computer name\"""
"219604096116566400","exit","exit(1)"
"219604096116566401","LITERAL","1"
"219604096116566402","METHOD_RETURN","static void"
"2196040961156660991","METHOD","CWE15_External_Control_of_System_or_Configuration_Setting__w32_22_badSource"
"2196040961156660992","PARAM","char * data"
"2196040961156660993","BLOCK",""
"2196040961156660994","CONTROL_STRUCTURE","if(CWE15_External_Control_of_System_or_Configuration_Setting__w32_22_badGlobal)"
"2196040961156660995","IDENTIFIER","CWE15_External_Control_of_System_or_Configuration_Setting__w32_22_badGlobal"
"2196040961156660996","BLOCK",""
"2196040961156660997","BLOCK",""
"2196040961156660998","LOCAL","wsaData: WSADATA"
"2196040961156660999","LOCAL","wsaDataInit: BOOL"
"2196040961156661000","<operator>.assignment","wsaDataInit = FALSE"
"2196040961156661001","IDENTIFIER","wsaDataInit"
"2196040961156661002","IDENTIFIER","FALSE"
"2196040961156661003","LOCAL","listenSocket: SOCKET"
"2196040961156661004","<operator>.assignment","listenSocket = INVALID_SOCKET"
"2196040961156661005","IDENTIFIER","listenSocket"
"2196040961156661006","IDENTIFIER","INVALID_SOCKET"
"2196040961156661007","LOCAL","acceptSocket: SOCKET"
"2196040961156661008","<operator>.assignment","acceptSocket = INVALID_SOCKET"
"2196040961156661009","IDENTIFIER","acceptSocket"
"2196040961156661010","IDENTIFIER","INVALID_SOCKET"
"2196040961156661011","LOCAL","service: struct sockaddr_in"
"2196040961156661012","LOCAL","recvResult: int"
"2196040961156661013","CONTROL_STRUCTURE","do"
"2196040961156661014","BLOCK",""
"2196040961156661015","CONTROL_STRUCTURE","if (WSAStartup(MAKEWORD(2,2), &wsaData) != NO_ERROR)"
"2196040961156661016","<operator>.notEquals","WSAStartup(MAKEWORD(2,2), &wsaData) != NO_ERROR"
"2196040961156661017","WSAStartup","WSAStartup(MAKEWORD(2,2), &wsaData)"
"2196040961156661018","MAKEWORD","MAKEWORD(2,2)"
"2196040961156661019","LITERAL","2"
"2196040961156661020","LITERAL","2"
"2196040961156661021","<operator>.addressOf","&wsaData"
"2196040961156661022","IDENTIFIER","wsaData"
"2196040961156661023","IDENTIFIER","NO_ERROR"
"2196040961156661024","BLOCK",""
"2196040961156661025","CONTROL_STRUCTURE","break;"
"2196040961156661026","<operator>.assignment","wsaDataInit = 1"
"2196040961156661027","IDENTIFIER","wsaDataInit"
"2196040961156661028","LITERAL","1"
"2196040961156661029","<operator>.assignment","listenSocket = socket(PF_INET, SOCK_STREAM, 0)"
"2196040961156661030","IDENTIFIER","listenSocket"
"2196040961156661031","socket","socket(PF_INET, SOCK_STREAM, 0)"
"2196040961156661032","IDENTIFIER","PF_INET"
"2196040961156661033","IDENTIFIER","SOCK_STREAM"
"2196040961156661034","LITERAL","0"
"2196040961156661035","CONTROL_STRUCTURE","if (listenSocket == INVALID_SOCKET)"
"2196040961156661036","<operator>.equals","listenSocket == INVALID_SOCKET"
"2196040961156661037","IDENTIFIER","listenSocket"
"2196040961156661038","IDENTIFIER","INVALID_SOCKET"
"2196040961156661039","BLOCK",""
"2196040961156661040","CONTROL_STRUCTURE","break;"
"2196040961156661041","memset","memset(&service, 0, sizeof(service))"
"2196040961156661042","<operator>.addressOf","&service"
"2196040961156661043","IDENTIFIER","service"
"2196040961156661044","LITERAL","0"
"2196040961156661045","<operator>.sizeOf","sizeof(service)"
"2196040961156661046","IDENTIFIER","service"
"2196040961156661047","<operator>.assignment","service.sin_family = AF_INET"
"2196040961156661048","<operator>.fieldAccess","service.sin_family"
"2196040961156661049","IDENTIFIER","service"
"2196040961156661050","FIELD_IDENTIFIER","sin_family"
"2196040961156661051","IDENTIFIER","AF_INET"
"2196040961156661052","<operator>.assignment","service.sin_addr.s_addr = INADDR_ANY"
"2196040961156661053","<operator>.fieldAccess","service.sin_addr.s_addr"
"2196040961156661054","<operator>.fieldAccess","service.sin_addr"
"2196040961156661055","IDENTIFIER","service"
"2196040961156661056","FIELD_IDENTIFIER","sin_addr"
"2196040961156661057","FIELD_IDENTIFIER","s_addr"
"2196040961156661058","IDENTIFIER","INADDR_ANY"
"2196040961156661059","<operator>.assignment","service.sin_port = htons(LISTEN_PORT)"
"2196040961156661060","<operator>.fieldAccess","service.sin_port"
"2196040961156661061","IDENTIFIER","service"
"2196040961156661062","FIELD_IDENTIFIER","sin_port"
"2196040961156661063","htons","htons(LISTEN_PORT)"
"2196040961156661064","IDENTIFIER","LISTEN_PORT"
"2196040961156661065","CONTROL_STRUCTURE","if (SOCKET_ERROR == bind(listenSocket, (struct sockaddr*)&service, sizeof(service)))"
"2196040961156661066","<operator>.equals","SOCKET_ERROR == bind(listenSocket, (struct sockaddr*)&service, sizeof(service))"
"2196040961156661067","IDENTIFIER","SOCKET_ERROR"
"2196040961156661068","bind","bind(listenSocket, (struct sockaddr*)&service, sizeof(service))"
"2196040961156661069","IDENTIFIER","listenSocket"
"2196040961156661070","<operator>.cast","(struct sockaddr*)&service"
"2196040961156661071","UNKNOWN","struct sockaddr*"
"2196040961156661072","<operator>.addressOf","&service"
"2196040961156661073","IDENTIFIER","service"
"2196040961156661074","<operator>.sizeOf","sizeof(service)"
"2196040961156661075","IDENTIFIER","service"
"2196040961156661076","BLOCK",""
"2196040961156661077","CONTROL_STRUCTURE","break;"
"2196040961156661078","CONTROL_STRUCTURE","if (SOCKET_ERROR == listen(listenSocket, LISTEN_BACKLOG))"
"2196040961156661079","<operator>.equals","SOCKET_ERROR == listen(listenSocket, LISTEN_BACKLOG)"
"2196040961156661080","IDENTIFIER","SOCKET_ERROR"
"2196040961156661081","listen","listen(listenSocket, LISTEN_BACKLOG)"
"2196040961156661082","IDENTIFIER","listenSocket"
"2196040961156661083","IDENTIFIER","LISTEN_BACKLOG"
"2196040961156661084","BLOCK",""
"2196040961156661085","CONTROL_STRUCTURE","break;"
"2196040961156661086","<operator>.assignment","acceptSocket = accept(listenSocket, NULL, NULL)"
"2196040961156661087","IDENTIFIER","acceptSocket"
"2196040961156661088","accept","accept(listenSocket, NULL, NULL)"
"2196040961156661089","IDENTIFIER","listenSocket"
"2196040961156661090","IDENTIFIER","NULL"
"2196040961156661091","IDENTIFIER","NULL"
"2196040961156661092","CONTROL_STRUCTURE","if (acceptSocket == INVALID_SOCKET)"
"2196040961156661093","<operator>.equals","acceptSocket == INVALID_SOCKET"
"2196040961156661094","IDENTIFIER","acceptSocket"
"2196040961156661095","IDENTIFIER","INVALID_SOCKET"
"2196040961156661096","BLOCK",""
"2196040961156661097","CONTROL_STRUCTURE","break;"
"2196040961156661098","<operator>.assignment","recvResult = recv(acceptSocket, data, 100 - 1, 0)"
"2196040961156661099","IDENTIFIER","recvResult"
"2196040961156661100","recv","recv(acceptSocket, data, 100 - 1, 0)"
"2196040961156661101","IDENTIFIER","acceptSocket"
"2196040961156661102","IDENTIFIER","data"
"2196040961156661103","<operator>.subtraction","100 - 1"
"2196040961156661104","LITERAL","100"
"2196040961156661105","LITERAL","1"
"2196040961156661106","LITERAL","0"
"2196040961156661107","CONTROL_STRUCTURE","if (recvResult == SOCKET_ERROR || recvResult == 0)"
"2196040961156661108","<operator>.logicalOr","recvResult == SOCKET_ERROR || recvResult == 0"
"2196040961156661109","<operator>.equals","recvResult == SOCKET_ERROR"
"2196040961156661110","IDENTIFIER","recvResult"
"2196040961156661111","IDENTIFIER","SOCKET_ERROR"
"2196040961156661112","<operator>.equals","recvResult == 0"
"2196040961156661113","IDENTIFIER","recvResult"
"2196040961156661114","LITERAL","0"
"2196040961156661115","BLOCK",""
"2196040961156661116","CONTROL_STRUCTURE","break;"
"2196040961156661117","<operator>.assignment","data[recvResult] = '\0'"
"2196040961156661118","<operator>.indirectIndexAccess","data[recvResult]"
"2196040961156661119","IDENTIFIER","data"
"2196040961156661120","IDENTIFIER","recvResult"
"2196040961156661121","LITERAL","'\0'"
"2196040961156661122","LITERAL","0"
"2196040961156661123","CONTROL_STRUCTURE","if (acceptSocket != INVALID_SOCKET)"
"2196040961156661124","<operator>.notEquals","acceptSocket != INVALID_SOCKET"
"2196040961156661125","IDENTIFIER","acceptSocket"
"2196040961156661126","IDENTIFIER","INVALID_SOCKET"
"2196040961156661127","BLOCK",""
"2196040961156661128","closesocket","closesocket(acceptSocket)"
"2196040961156661129","IDENTIFIER","acceptSocket"
"2196040961156661130","CONTROL_STRUCTURE","if (listenSocket != INVALID_SOCKET)"
"2196040961156661131","<operator>.notEquals","listenSocket != INVALID_SOCKET"
"2196040961156661132","IDENTIFIER","listenSocket"
"2196040961156661133","IDENTIFIER","INVALID_SOCKET"
"2196040961156661134","BLOCK",""
"2196040961156661135","closesocket","closesocket(listenSocket)"
"2196040961156661136","IDENTIFIER","listenSocket"
"2196040961156661137","CONTROL_STRUCTURE","if (wsaDataInit)"
"2196040961156661138","IDENTIFIER","wsaDataInit"
"2196040961156661139","BLOCK",""
"2196040961156661140","WSACleanup","WSACleanup()"
"2196040961156661141","RETURN","return data;"
"2196040961156661142","IDENTIFIER","data"
"2196040961156661143","METHOD_RETURN","char *"
"2196040961156661144","METHOD","CWE15_External_Control_of_System_or_Configuration_Setting__w32_22_goodG2B1Source"
"2196040961156661145","PARAM","char * data"
"2196040961156661146","BLOCK",""
"2196040961156661147","CONTROL_STRUCTURE","if(CWE15_External_Control_of_System_or_Configuration_Setting__w32_22_goodG2B1Global)"
"2196040961156661148","IDENTIFIER","CWE15_External_Control_of_System_or_Configuration_Setting__w32_22_goodG2B1Global"
"2196040961156661149","BLOCK",""
"2196040961156661150","printLine","printLine(\""Benign, fixed string\"")"
"2196040961156661151","LITERAL","\""Benign, fixed string\"""
"2196040961156661152","CONTROL_STRUCTURE","else"
"2196040961156661153","BLOCK",""
"2196040961156661154","strcpy","strcpy(data, \""hostname\"")"
"2196040961156661155","IDENTIFIER","data"
"2196040961156661156","LITERAL","\""hostname\"""
"2196040961156661157","RETURN","return data;"
"2196040961156661158","IDENTIFIER","data"
"2196040961156661159","METHOD_RETURN","char *"
"2196040961156661160","METHOD","CWE15_External_Control_of_System_or_Configuration_Setting__w32_22_goodG2B2Source"
"2196040961156661161","PARAM","char * data"
"2196040961156661162","BLOCK",""
"2196040961156661163","CONTROL_STRUCTURE","if(CWE15_External_Control_of_System_or_Configuration_Setting__w32_22_goodG2B2Global)"
"2196040961156661164","IDENTIFIER","CWE15_External_Control_of_System_or_Configuration_Setting__w32_22_goodG2B2Global"
"2196040961156661165","BLOCK",""
"2196040961156661166","strcpy","strcpy(data, \""hostname\"")"
"2196040961156661167","IDENTIFIER","data"
"2196040961156661168","LITERAL","\""hostname\"""
"2196040961156661169","RETURN","return data;"
"2196040961156661170","IDENTIFIER","data"
"2196040961156661171","METHOD_RETURN","char *"
"2305843009214444034","METHOD","CWE15_External_Control_of_System_or_Configuration_Setting__w32_31_bad"
"2305843009214444035","BLOCK",""
"2305843009214444036","LOCAL","data: char *"
"2305843009214444037","LOCAL","dataBuffer: char [ 100 ]"
"2305843009214444038","<operator>.assignment","dataBuffer[100] = \""\"""
"2305843009214444039","IDENTIFIER","dataBuffer"
"2305843009214444040","LITERAL","\""\"""
"2305843009214444041","<operator>.assignment","data = dataBuffer"
"2305843009214444042","IDENTIFIER","data"
"2305843009214444043","IDENTIFIER","dataBuffer"
"2305843009214444044","BLOCK",""
"2305843009214444045","LOCAL","wsaData: WSADATA"
"2305843009214444046","LOCAL","wsaDataInit: BOOL"
"2305843009214444047","<operator>.assignment","wsaDataInit = FALSE"
"2305843009214444048","IDENTIFIER","wsaDataInit"
"2305843009214444049","IDENTIFIER","FALSE"
"2305843009214444050","LOCAL","listenSocket: SOCKET"
"2305843009214444051","<operator>.assignment","listenSocket = INVALID_SOCKET"
"2305843009214444052","IDENTIFIER","listenSocket"
"2305843009214444053","IDENTIFIER","INVALID_SOCKET"
"2305843009214444054","LOCAL","acceptSocket: SOCKET"
"2305843009214444055","<operator>.assignment","acceptSocket = INVALID_SOCKET"
"2305843009214444056","IDENTIFIER","acceptSocket"
"2305843009214444057","IDENTIFIER","INVALID_SOCKET"
"2305843009214444058","LOCAL","service: struct sockaddr_in"
"2305843009214444059","LOCAL","recvResult: int"
"2305843009214444060","CONTROL_STRUCTURE","do"
"2305843009214444061","BLOCK",""
"2305843009214444062","CONTROL_STRUCTURE","if (WSAStartup(MAKEWORD(2,2), &wsaData) != NO_ERROR)"
"2305843009214444063","<operator>.notEquals","WSAStartup(MAKEWORD(2,2), &wsaData) != NO_ERROR"
"2305843009214444064","WSAStartup","WSAStartup(MAKEWORD(2,2), &wsaData)"
"2305843009214444065","MAKEWORD","MAKEWORD(2,2)"
"2305843009214444066","LITERAL","2"
"2305843009214444067","LITERAL","2"
"2305843009214444068","<operator>.addressOf","&wsaData"
"2305843009214444069","IDENTIFIER","wsaData"
"2305843009214444070","IDENTIFIER","NO_ERROR"
"2305843009214444071","BLOCK",""
"2305843009214444072","CONTROL_STRUCTURE","break;"
"2305843009214444073","<operator>.assignment","wsaDataInit = 1"
"2305843009214444074","IDENTIFIER","wsaDataInit"
"2305843009214444075","LITERAL","1"
"2305843009214444076","<operator>.assignment","listenSocket = socket(PF_INET, SOCK_STREAM, 0)"
"2305843009214444077","IDENTIFIER","listenSocket"
"2305843009214444078","socket","socket(PF_INET, SOCK_STREAM, 0)"
"2305843009214444079","IDENTIFIER","PF_INET"
"2305843009214444080","IDENTIFIER","SOCK_STREAM"
"2305843009214444081","LITERAL","0"
"2305843009214444082","CONTROL_STRUCTURE","if (listenSocket == INVALID_SOCKET)"
"2305843009214444083","<operator>.equals","listenSocket == INVALID_SOCKET"
"2305843009214444084","IDENTIFIER","listenSocket"
"2305843009214444085","IDENTIFIER","INVALID_SOCKET"
"2305843009214444086","BLOCK",""
"2305843009214444087","CONTROL_STRUCTURE","break;"
"2305843009214444088","memset","memset(&service, 0, sizeof(service))"
"2305843009214444089","<operator>.addressOf","&service"
"2305843009214444090","IDENTIFIER","service"
"2305843009214444091","LITERAL","0"
"2305843009214444092","<operator>.sizeOf","sizeof(service)"
"2305843009214444093","IDENTIFIER","service"
"2305843009214444094","<operator>.assignment","service.sin_family = AF_INET"
"2305843009214444095","<operator>.fieldAccess","service.sin_family"
"2305843009214444096","IDENTIFIER","service"
"2305843009214444097","FIELD_IDENTIFIER","sin_family"
"2305843009214444098","IDENTIFIER","AF_INET"
"2305843009214444099","<operator>.assignment","service.sin_addr.s_addr = INADDR_ANY"
"2305843009214444100","<operator>.fieldAccess","service.sin_addr.s_addr"
"2305843009214444101","<operator>.fieldAccess","service.sin_addr"
"2305843009214444102","IDENTIFIER","service"
"2305843009214444103","FIELD_IDENTIFIER","sin_addr"
"2305843009214444104","FIELD_IDENTIFIER","s_addr"
"2305843009214444105","IDENTIFIER","INADDR_ANY"
"2305843009214444106","<operator>.assignment","service.sin_port = htons(LISTEN_PORT)"
"2305843009214444107","<operator>.fieldAccess","service.sin_port"
"2305843009214444108","IDENTIFIER","service"
"2305843009214444109","FIELD_IDENTIFIER","sin_port"
"2305843009214444110","htons","htons(LISTEN_PORT)"
"2305843009214444111","IDENTIFIER","LISTEN_PORT"
"2305843009214444112","CONTROL_STRUCTURE","if (SOCKET_ERROR == bind(listenSocket, (struct sockaddr*)&service, sizeof(service)))"
"2305843009214444113","<operator>.equals","SOCKET_ERROR == bind(listenSocket, (struct sockaddr*)&service, sizeof(service))"
"2305843009214444114","IDENTIFIER","SOCKET_ERROR"
"2305843009214444115","bind","bind(listenSocket, (struct sockaddr*)&service, sizeof(service))"
"2305843009214444116","IDENTIFIER","listenSocket"
"2305843009214444117","<operator>.cast","(struct sockaddr*)&service"
"2305843009214444118","UNKNOWN","struct sockaddr*"
"2305843009214444119","<operator>.addressOf","&service"
"2305843009214444120","IDENTIFIER","service"
"2305843009214444121","<operator>.sizeOf","sizeof(service)"
"2305843009214444122","IDENTIFIER","service"
"2305843009214444123","BLOCK",""
"2305843009214444124","CONTROL_STRUCTURE","break;"
"2305843009214444125","CONTROL_STRUCTURE","if (SOCKET_ERROR == listen(listenSocket, LISTEN_BACKLOG))"
"2305843009214444126","<operator>.equals","SOCKET_ERROR == listen(listenSocket, LISTEN_BACKLOG)"
"2305843009214444127","IDENTIFIER","SOCKET_ERROR"
"2305843009214444128","listen","listen(listenSocket, LISTEN_BACKLOG)"
"2305843009214444129","IDENTIFIER","listenSocket"
"2305843009214444130","IDENTIFIER","LISTEN_BACKLOG"
"2305843009214444131","BLOCK",""
"2305843009214444132","CONTROL_STRUCTURE","break;"
"2305843009214444133","<operator>.assignment","acceptSocket = accept(listenSocket, NULL, NULL)"
"2305843009214444134","IDENTIFIER","acceptSocket"
"2305843009214444135","accept","accept(listenSocket, NULL, NULL)"
"2305843009214444136","IDENTIFIER","listenSocket"
"2305843009214444137","IDENTIFIER","NULL"
"2305843009214444138","IDENTIFIER","NULL"
"2305843009214444139","CONTROL_STRUCTURE","if (acceptSocket == INVALID_SOCKET)"
"2305843009214444140","<operator>.equals","acceptSocket == INVALID_SOCKET"
"2305843009214444141","IDENTIFIER","acceptSocket"
"2305843009214444142","IDENTIFIER","INVALID_SOCKET"
"2305843009214444143","BLOCK",""
"2305843009214444144","CONTROL_STRUCTURE","break;"
"2305843009214444145","<operator>.assignment","recvResult = recv(acceptSocket, data, 100 - 1, 0)"
"2305843009214444146","IDENTIFIER","recvResult"
