"start","end","type"
"1000266","1000267","AST"
"1000268","1000269","AST"
"1000268","1000271","AST"
"1000269","1000270","AST"
"1000271","1000272","AST"
"1000114","1000117","CFG"
"1000117","1000123","CFG"
"1000123","1000127","CFG"
"1000127","1000131","CFG"
"1000131","1000141","CFG"
"1000139","1000247","CFG"
"1000139","1000149","CFG"
"1000140","1000139","CFG"
"1000141","1000144","CFG"
"1000144","1000140","CFG"
"1000149","1000154","CFG"
"1000152","1000159","CFG"
"1000154","1000152","CFG"
"1000159","1000247","CFG"
"1000159","1000165","CFG"
"1000164","1000173","CFG"
"1000165","1000168","CFG"
"1000168","1000164","CFG"
"1000170","1000179","CFG"
"1000171","1000170","CFG"
"1000173","1000171","CFG"
"1000175","1000185","CFG"
"1000176","1000175","CFG"
"1000177","1000180","CFG"
"1000179","1000177","CFG"
"1000180","1000176","CFG"
"1000182","1000194","CFG"
"1000183","1000186","CFG"
"1000185","1000183","CFG"
"1000186","1000182","CFG"
"1000189","1000247","CFG"
"1000189","1000204","CFG"
"1000191","1000189","CFG"
"1000193","1000197","CFG"
"1000194","1000195","CFG"
"1000195","1000193","CFG"
"1000197","1000191","CFG"
"1000202","1000247","CFG"
"1000202","1000211","CFG"
"1000204","1000202","CFG"
"1000209","1000216","CFG"
"1000211","1000209","CFG"
"1000216","1000247","CFG"
"1000216","1000226","CFG"
"1000221","1000232","CFG"
"1000223","1000221","CFG"
"1000226","1000223","CFG"
"1000231","1000247","CFG"
"1000231","1000241","CFG"
"1000232","1000231","CFG"
"1000232","1000235","CFG"
"1000235","1000231","CFG"
"1000240","1000141","CFG"
"1000240","1000247","CFG"
"1000241","1000240","CFG"
"1000247","1000251","CFG"
"1000247","1000254","CFG"
"1000251","1000254","CFG"
"1000254","1000258","CFG"
"1000254","1000263","CFG"
"1000254","1000266","CFG"
"1000258","1000263","CFG"
"1000258","1000266","CFG"
"1000263","1000266","CFG"
"1000265","1000273","CFG"
"1000265","1000269","CFG"
"1000266","1000265","CFG"
"1000269","1000271","CFG"
"1000271","1000273","CFG"
"1000110","1000114","CFG"
"1000139","1000149","CDG"
"1000139","1000154","CDG"
"1000139","1000152","CDG"
"1000139","1000159","CDG"
"1000159","1000164","CDG"
"1000159","1000191","CDG"
"1000159","1000182","CDG"
"1000159","1000197","CDG"
"1000159","1000180","CDG"
"1000159","1000183","CDG"
"1000159","1000165","CDG"
"1000159","1000175","CDG"
"1000159","1000179","CDG"
"1000159","1000194","CDG"
"1000159","1000176","CDG"
"1000159","1000185","CDG"
"1000159","1000195","CDG"
"1000159","1000186","CDG"
"1000159","1000189","CDG"
"1000159","1000168","CDG"
"1000159","1000173","CDG"
"1000159","1000170","CDG"
"1000159","1000171","CDG"
"1000159","1000193","CDG"
"1000159","1000177","CDG"
"1000189","1000204","CDG"
"1000189","1000202","CDG"
"1000202","1000211","CDG"
"1000202","1000216","CDG"
"1000202","1000209","CDG"
"1000216","1000221","CDG"
"1000216","1000226","CDG"
"1000216","1000232","CDG"
"1000216","1000231","CDG"
"1000216","1000223","CDG"
"1000231","1000240","CDG"
"1000231","1000241","CDG"
"1000231","1000141","CDG"
"1000231","1000139","CDG"
"1000231","1000144","CDG"
"1000231","1000140","CDG"
"1000232","1000235","CDG"
"1000247","1000251","CDG"
"1000254","1000258","CDG"
"1000265","1000269","CDG"
"1000265","1000271","CDG"
"1000274","1000275","AST"
"1000274","1000296","AST"
"1000275","1000276","AST"
"1000275","1000277","AST"
"1000275","1000278","AST"
"1000275","1000281","AST"
"1000275","1000284","AST"
"1000275","1000287","AST"
"1000278","1000279","AST"
"1000278","1000280","AST"
"1000281","1000282","AST"
"1000281","1000283","AST"
"1000284","1000285","AST"
"1000284","1000286","AST"
"1000287","1000288","AST"
"1000287","1000291","AST"
"1000288","1000289","AST"
"1000289","1000290","AST"
"1000291","1000292","AST"
"1000291","1000294","AST"
"1000292","1000293","AST"
"1000294","1000295","AST"
"1000278","1000281","CFG"
"1000281","1000284","CFG"
"1000284","1000289","CFG"
"1000288","1000296","CFG"
"1000288","1000292","CFG"
"1000289","1000288","CFG"
"1000292","1000294","CFG"
"1000294","1000296","CFG"
"1000274","1000278","CFG"
"1000288","1000294","CDG"
"1000288","1000292","CDG"
"219604096116566371","219604096116566372","AST"
"219604096116566371","219604096116566402","AST"
"219604096116566372","219604096116566373","AST"
"219604096116566372","219604096116566374","AST"
"219604096116566372","219604096116566375","AST"
"219604096116566372","219604096116566378","AST"
"219604096116566372","219604096116566381","AST"
"219604096116566372","219604096116566393","AST"
"219604096116566375","219604096116566376","AST"
"219604096116566375","219604096116566377","AST"
"219604096116566378","219604096116566379","AST"
"219604096116566378","219604096116566380","AST"
"219604096116566381","219604096116566382","AST"
"219604096116566381","219604096116566385","AST"
"219604096116566381","219604096116566388","AST"
"219604096116566382","219604096116566383","AST"
"219604096116566382","219604096116566384","AST"
"219604096116566385","219604096116566386","AST"
"219604096116566386","219604096116566387","AST"
"219604096116566388","219604096116566389","AST"
"219604096116566389","219604096116566390","AST"
"219604096116566390","219604096116566391","AST"
"219604096116566390","219604096116566392","AST"
"219604096116566393","219604096116566394","AST"
"219604096116566393","219604096116566397","AST"
"219604096116566394","219604096116566395","AST"
"219604096116566395","219604096116566396","AST"
"219604096116566397","219604096116566398","AST"
"219604096116566397","219604096116566400","AST"
"219604096116566398","219604096116566399","AST"
"219604096116566400","219604096116566401","AST"
"219604096116566375","219604096116566378","CFG"
"219604096116566378","219604096116566382","CFG"
"219604096116566382","219604096116566386","CFG"
"219604096116566382","219604096116566390","CFG"
"219604096116566386","219604096116566395","CFG"
"219604096116566390","219604096116566395","CFG"
"219604096116566394","219604096116566402","CFG"
"219604096116566394","219604096116566398","CFG"
"219604096116566395","219604096116566394","CFG"
"219604096116566398","219604096116566400","CFG"
"219604096116566400","219604096116566402","CFG"
"219604096116566371","219604096116566375","CFG"
"219604096116566382","219604096116566386","CDG"
"219604096116566382","219604096116566390","CDG"
"219604096116566394","219604096116566400","CDG"
"219604096116566394","219604096116566398","CDG"
"2196040961156660991","2196040961156660992","AST"
"2196040961156660991","2196040961156660993","AST"
"2196040961156660991","2196040961156661143","AST"
"2196040961156660993","2196040961156660994","AST"
"2196040961156660993","2196040961156661141","AST"
"2196040961156660994","2196040961156660995","AST"
"2196040961156660994","2196040961156660996","AST"
"2196040961156660996","2196040961156660997","AST"
"2196040961156660997","2196040961156660998","AST"
"2196040961156660997","2196040961156660999","AST"
"2196040961156660997","2196040961156661000","AST"
"2196040961156660997","2196040961156661003","AST"
"2196040961156660997","2196040961156661004","AST"
"2196040961156660997","2196040961156661007","AST"
"2196040961156660997","2196040961156661008","AST"
"2196040961156660997","2196040961156661011","AST"
"2196040961156660997","2196040961156661012","AST"
"2196040961156660997","2196040961156661013","AST"
"2196040961156660997","2196040961156661123","AST"
"2196040961156660997","2196040961156661130","AST"
"2196040961156660997","2196040961156661137","AST"
"2196040961156661000","2196040961156661001","AST"
"2196040961156661000","2196040961156661002","AST"
"2196040961156661004","2196040961156661005","AST"
"2196040961156661004","2196040961156661006","AST"
"2196040961156661008","2196040961156661009","AST"
"2196040961156661008","2196040961156661010","AST"
"2196040961156661013","2196040961156661014","AST"
"2196040961156661013","2196040961156661122","AST"
"2196040961156661014","2196040961156661015","AST"
"2196040961156661014","2196040961156661026","AST"
"2196040961156661014","2196040961156661029","AST"
"2196040961156661014","2196040961156661035","AST"
"2196040961156661014","2196040961156661041","AST"
"2196040961156661014","2196040961156661047","AST"
"2196040961156661014","2196040961156661052","AST"
"2196040961156661014","2196040961156661059","AST"
"2196040961156661014","2196040961156661065","AST"
"2196040961156661014","2196040961156661078","AST"
"2196040961156661014","2196040961156661086","AST"
"2196040961156661014","2196040961156661092","AST"
"2196040961156661014","2196040961156661098","AST"
"2196040961156661014","2196040961156661107","AST"
"2196040961156661014","2196040961156661117","AST"
"2196040961156661015","2196040961156661016","AST"
"2196040961156661015","2196040961156661024","AST"
"2196040961156661016","2196040961156661017","AST"
"2196040961156661016","2196040961156661023","AST"
"2196040961156661017","2196040961156661018","AST"
"2196040961156661017","2196040961156661021","AST"
"2196040961156661018","2196040961156661019","AST"
"2196040961156661018","2196040961156661020","AST"
"2196040961156661021","2196040961156661022","AST"
"2196040961156661024","2196040961156661025","AST"
"2196040961156661026","2196040961156661027","AST"
"2196040961156661026","2196040961156661028","AST"
"2196040961156661029","2196040961156661030","AST"
"2196040961156661029","2196040961156661031","AST"
"2196040961156661031","2196040961156661032","AST"
"2196040961156661031","2196040961156661033","AST"
"2196040961156661031","2196040961156661034","AST"
"2196040961156661035","2196040961156661036","AST"
"2196040961156661035","2196040961156661039","AST"
"2196040961156661036","2196040961156661037","AST"
"2196040961156661036","2196040961156661038","AST"
"2196040961156661039","2196040961156661040","AST"
"2196040961156661041","2196040961156661042","AST"
"2196040961156661041","2196040961156661044","AST"
"2196040961156661041","2196040961156661045","AST"
"2196040961156661042","2196040961156661043","AST"
"2196040961156661045","2196040961156661046","AST"
"2196040961156661047","2196040961156661048","AST"
"2196040961156661047","2196040961156661051","AST"
"2196040961156661048","2196040961156661049","AST"
"2196040961156661048","2196040961156661050","AST"
"2196040961156661052","2196040961156661053","AST"
"2196040961156661052","2196040961156661058","AST"
"2196040961156661053","2196040961156661054","AST"
"2196040961156661053","2196040961156661057","AST"
"2196040961156661054","2196040961156661055","AST"
"2196040961156661054","2196040961156661056","AST"
"2196040961156661059","2196040961156661060","AST"
"2196040961156661059","2196040961156661063","AST"
"2196040961156661060","2196040961156661061","AST"
"2196040961156661060","2196040961156661062","AST"
"2196040961156661063","2196040961156661064","AST"
"2196040961156661065","2196040961156661066","AST"
"2196040961156661065","2196040961156661076","AST"
"2196040961156661066","2196040961156661067","AST"
"2196040961156661066","2196040961156661068","AST"
"2196040961156661068","2196040961156661069","AST"
"2196040961156661068","2196040961156661070","AST"
"2196040961156661068","2196040961156661074","AST"
"2196040961156661070","2196040961156661071","AST"
"2196040961156661070","2196040961156661072","AST"
"2196040961156661072","2196040961156661073","AST"
"2196040961156661074","2196040961156661075","AST"
"2196040961156661076","2196040961156661077","AST"
"2196040961156661078","2196040961156661079","AST"
"2196040961156661078","2196040961156661084","AST"
"2196040961156661079","2196040961156661080","AST"
"2196040961156661079","2196040961156661081","AST"
"2196040961156661081","2196040961156661082","AST"
"2196040961156661081","2196040961156661083","AST"
"2196040961156661084","2196040961156661085","AST"
"2196040961156661086","2196040961156661087","AST"
"2196040961156661086","2196040961156661088","AST"
"2196040961156661088","2196040961156661089","AST"
"2196040961156661088","2196040961156661090","AST"
"2196040961156661088","2196040961156661091","AST"
"2196040961156661092","2196040961156661093","AST"
"2196040961156661092","2196040961156661096","AST"
"2196040961156661093","2196040961156661094","AST"
"2196040961156661093","2196040961156661095","AST"
"2196040961156661096","2196040961156661097","AST"
"2196040961156661098","2196040961156661099","AST"
"2196040961156661098","2196040961156661100","AST"
"2196040961156661100","2196040961156661101","AST"
"2196040961156661100","2196040961156661102","AST"
"2196040961156661100","2196040961156661103","AST"
"2196040961156661100","2196040961156661106","AST"
"2196040961156661103","2196040961156661104","AST"
"2196040961156661103","2196040961156661105","AST"
"2196040961156661107","2196040961156661108","AST"
"2196040961156661107","2196040961156661115","AST"
"2196040961156661108","2196040961156661109","AST"
"2196040961156661108","2196040961156661112","AST"
"2196040961156661109","2196040961156661110","AST"
"2196040961156661109","2196040961156661111","AST"
"2196040961156661112","2196040961156661113","AST"
"2196040961156661112","2196040961156661114","AST"
"2196040961156661115","2196040961156661116","AST"
"2196040961156661117","2196040961156661118","AST"
"2196040961156661117","2196040961156661121","AST"
"2196040961156661118","2196040961156661119","AST"
"2196040961156661118","2196040961156661120","AST"
"2196040961156661123","2196040961156661124","AST"
"2196040961156661123","2196040961156661127","AST"
"2196040961156661124","2196040961156661125","AST"
"2196040961156661124","2196040961156661126","AST"
"2196040961156661127","2196040961156661128","AST"
"2196040961156661128","2196040961156661129","AST"
"2196040961156661130","2196040961156661131","AST"
"2196040961156661130","2196040961156661134","AST"
"2196040961156661131","2196040961156661132","AST"
"2196040961156661131","2196040961156661133","AST"
"2196040961156661134","2196040961156661135","AST"
"2196040961156661135","2196040961156661136","AST"
"2196040961156661137","2196040961156661138","AST"
"2196040961156661137","2196040961156661139","AST"
"2196040961156661139","2196040961156661140","AST"
"2196040961156661141","2196040961156661142","AST"
"2196040961156661000","2196040961156661004","CFG"
"2196040961156661004","2196040961156661008","CFG"
"2196040961156661008","2196040961156661018","CFG"
"2196040961156661016","2196040961156661124","CFG"
"2196040961156661016","2196040961156661026","CFG"
"2196040961156661017","2196040961156661016","CFG"
"2196040961156661018","2196040961156661021","CFG"
"2196040961156661021","2196040961156661017","CFG"
"2196040961156661026","2196040961156661031","CFG"
"2196040961156661029","2196040961156661036","CFG"
"2196040961156661031","2196040961156661029","CFG"
"2196040961156661036","2196040961156661124","CFG"
"2196040961156661036","2196040961156661042","CFG"
"2196040961156661041","2196040961156661050","CFG"
"2196040961156661042","2196040961156661045","CFG"
"2196040961156661045","2196040961156661041","CFG"
"2196040961156661047","2196040961156661056","CFG"
"2196040961156661048","2196040961156661047","CFG"
"2196040961156661050","2196040961156661048","CFG"
"2196040961156661052","2196040961156661062","CFG"
"2196040961156661053","2196040961156661052","CFG"
"2196040961156661054","2196040961156661057","CFG"
"2196040961156661056","2196040961156661054","CFG"
"2196040961156661057","2196040961156661053","CFG"
"2196040961156661059","2196040961156661071","CFG"
"2196040961156661060","2196040961156661063","CFG"
"2196040961156661062","2196040961156661060","CFG"
"2196040961156661063","2196040961156661059","CFG"
"2196040961156661066","2196040961156661124","CFG"
"2196040961156661066","2196040961156661081","CFG"
"2196040961156661068","2196040961156661066","CFG"
"2196040961156661070","2196040961156661074","CFG"
"2196040961156661071","2196040961156661072","CFG"
"2196040961156661072","2196040961156661070","CFG"
"2196040961156661074","2196040961156661068","CFG"
"2196040961156661079","2196040961156661124","CFG"
"2196040961156661079","2196040961156661088","CFG"
"2196040961156661081","2196040961156661079","CFG"
"2196040961156661086","2196040961156661093","CFG"
"2196040961156661088","2196040961156661086","CFG"
"2196040961156661093","2196040961156661124","CFG"
"2196040961156661093","2196040961156661103","CFG"
"2196040961156661098","2196040961156661109","CFG"
"2196040961156661100","2196040961156661098","CFG"
"2196040961156661103","2196040961156661100","CFG"
"2196040961156661108","2196040961156661124","CFG"
"2196040961156661108","2196040961156661118","CFG"
"2196040961156661109","2196040961156661108","CFG"
"2196040961156661109","2196040961156661112","CFG"
"2196040961156661112","2196040961156661108","CFG"
"2196040961156661117","2196040961156661018","CFG"
"2196040961156661117","2196040961156661124","CFG"
"2196040961156661118","2196040961156661117","CFG"
"2196040961156661124","2196040961156661128","CFG"
"2196040961156661124","2196040961156661131","CFG"
"2196040961156661128","2196040961156661131","CFG"
"2196040961156661131","2196040961156661135","CFG"
"2196040961156661131","2196040961156661140","CFG"
"2196040961156661131","2196040961156661141","CFG"
"2196040961156661135","2196040961156661140","CFG"
"2196040961156661135","2196040961156661141","CFG"
"2196040961156661140","2196040961156661141","CFG"
"2196040961156661141","2196040961156661143","CFG"
"2196040961156660991","2196040961156661000","CFG"
"2196040961156660991","2196040961156661141","CFG"
"2196040961156661016","2196040961156661029","CDG"
"2196040961156661016","2196040961156661036","CDG"
"2196040961156661016","2196040961156661026","CDG"
"2196040961156661016","2196040961156661031","CDG"
"2196040961156661036","2196040961156661050","CDG"
"2196040961156661036","2196040961156661062","CDG"
"2196040961156661036","2196040961156661059","CDG"
"2196040961156661036","2196040961156661047","CDG"
"2196040961156661036","2196040961156661066","CDG"
"2196040961156661036","2196040961156661056","CDG"
"2196040961156661036","2196040961156661057","CDG"
"2196040961156661036","2196040961156661052","CDG"
"2196040961156661036","2196040961156661045","CDG"
"2196040961156661036","2196040961156661060","CDG"
"2196040961156661036","2196040961156661053","CDG"
"2196040961156661036","2196040961156661048","CDG"
"2196040961156661036","2196040961156661068","CDG"
"2196040961156661036","2196040961156661071","CDG"
"2196040961156661036","2196040961156661041","CDG"
"2196040961156661036","2196040961156661054","CDG"
"2196040961156661036","2196040961156661063","CDG"
"2196040961156661036","2196040961156661070","CDG"
"2196040961156661036","2196040961156661074","CDG"
"2196040961156661036","2196040961156661042","CDG"
"2196040961156661036","2196040961156661072","CDG"
"2196040961156661066","2196040961156661081","CDG"
"2196040961156661066","2196040961156661079","CDG"
"2196040961156661079","2196040961156661093","CDG"
"2196040961156661079","2196040961156661086","CDG"
"2196040961156661079","2196040961156661088","CDG"
"2196040961156661093","2196040961156661108","CDG"
"2196040961156661093","2196040961156661098","CDG"
"2196040961156661093","2196040961156661109","CDG"
"2196040961156661093","2196040961156661100","CDG"
"2196040961156661093","2196040961156661103","CDG"
"2196040961156661108","2196040961156661118","CDG"
"2196040961156661108","2196040961156661117","CDG"
"2196040961156661108","2196040961156661017","CDG"
"2196040961156661108","2196040961156661018","CDG"
"2196040961156661108","2196040961156661021","CDG"
"2196040961156661108","2196040961156661016","CDG"
"2196040961156661109","2196040961156661112","CDG"
"2196040961156661124","2196040961156661128","CDG"
"2196040961156661131","2196040961156661135","CDG"
"2196040961156661144","2196040961156661145","AST"
"2196040961156661144","2196040961156661146","AST"
"2196040961156661144","2196040961156661159","AST"
"2196040961156661146","2196040961156661147","AST"
"2196040961156661146","2196040961156661157","AST"
"2196040961156661147","2196040961156661148","AST"
"2196040961156661147","2196040961156661149","AST"
"2196040961156661147","2196040961156661152","AST"
"2196040961156661149","2196040961156661150","AST"
"2196040961156661150","2196040961156661151","AST"
"2196040961156661152","2196040961156661153","AST"
"2196040961156661153","2196040961156661154","AST"
"2196040961156661154","2196040961156661155","AST"
"2196040961156661154","2196040961156661156","AST"
"2196040961156661157","2196040961156661158","AST"
"2196040961156661150","2196040961156661157","CFG"
"2196040961156661154","2196040961156661157","CFG"
"2196040961156661157","2196040961156661159","CFG"
"2196040961156661144","2196040961156661150","CFG"
"2196040961156661144","2196040961156661154","CFG"
"2196040961156661160","2196040961156661161","AST"
"2196040961156661160","2196040961156661162","AST"
"2196040961156661160","2196040961156661171","AST"
"2196040961156661162","2196040961156661163","AST"
"2196040961156661162","2196040961156661169","AST"
"2196040961156661163","2196040961156661164","AST"
"2196040961156661163","2196040961156661165","AST"
"2196040961156661165","2196040961156661166","AST"
"2196040961156661166","2196040961156661167","AST"
"2196040961156661166","2196040961156661168","AST"
"2196040961156661169","2196040961156661170","AST"
"2196040961156661166","2196040961156661169","CFG"
"2196040961156661169","2196040961156661171","CFG"
"2196040961156661160","2196040961156661166","CFG"
"2196040961156661160","2196040961156661169","CFG"
"2305843009214444034","2305843009214444035","AST"
"2305843009214444034","2305843009214444206","AST"
"2305843009214444035","2305843009214444036","AST"
"2305843009214444035","2305843009214444037","AST"
"2305843009214444035","2305843009214444038","AST"
"2305843009214444035","2305843009214444041","AST"
"2305843009214444035","2305843009214444044","AST"
"2305843009214444035","2305843009214444188","AST"
"2305843009214444038","2305843009214444039","AST"
"2305843009214444038","2305843009214444040","AST"
"2305843009214444041","2305843009214444042","AST"
"2305843009214444041","2305843009214444043","AST"
"2305843009214444044","2305843009214444045","AST"
"2305843009214444044","2305843009214444046","AST"
"2305843009214444044","2305843009214444047","AST"
"2305843009214444044","2305843009214444050","AST"
"2305843009214444044","2305843009214444051","AST"
"2305843009214444044","2305843009214444054","AST"
"2305843009214444044","2305843009214444055","AST"
"2305843009214444044","2305843009214444058","AST"
"2305843009214444044","2305843009214444059","AST"
"2305843009214444044","2305843009214444060","AST"
"2305843009214444044","2305843009214444170","AST"
"2305843009214444044","2305843009214444177","AST"
"2305843009214444044","2305843009214444184","AST"
"2305843009214444047","2305843009214444048","AST"
"2305843009214444047","2305843009214444049","AST"
"2305843009214444051","2305843009214444052","AST"
"2305843009214444051","2305843009214444053","AST"
"2305843009214444055","2305843009214444056","AST"
"2305843009214444055","2305843009214444057","AST"
"2305843009214444060","2305843009214444061","AST"
"2305843009214444060","2305843009214444169","AST"
"2305843009214444061","2305843009214444062","AST"
"2305843009214444061","2305843009214444073","AST"
"2305843009214444061","2305843009214444076","AST"
"2305843009214444061","2305843009214444082","AST"
"2305843009214444061","2305843009214444088","AST"
"2305843009214444061","2305843009214444094","AST"
"2305843009214444061","2305843009214444099","AST"
"2305843009214444061","2305843009214444106","AST"
"2305843009214444061","2305843009214444112","AST"
"2305843009214444061","2305843009214444125","AST"
"2305843009214444061","2305843009214444133","AST"
"2305843009214444061","2305843009214444139","AST"
"2305843009214444061","2305843009214444145","AST"
"2305843009214444061","2305843009214444154","AST"
"2305843009214444061","2305843009214444164","AST"
"2305843009214444062","2305843009214444063","AST"
"2305843009214444062","2305843009214444071","AST"
"2305843009214444063","2305843009214444064","AST"
"2305843009214444063","2305843009214444070","AST"
"2305843009214444064","2305843009214444065","AST"
"2305843009214444064","2305843009214444068","AST"
"2305843009214444065","2305843009214444066","AST"
"2305843009214444065","2305843009214444067","AST"
"2305843009214444068","2305843009214444069","AST"
"2305843009214444071","2305843009214444072","AST"
"2305843009214444073","2305843009214444074","AST"
"2305843009214444073","2305843009214444075","AST"
"2305843009214444076","2305843009214444077","AST"
"2305843009214444076","2305843009214444078","AST"
"2305843009214444078","2305843009214444079","AST"
"2305843009214444078","2305843009214444080","AST"
"2305843009214444078","2305843009214444081","AST"
"2305843009214444082","2305843009214444083","AST"
"2305843009214444082","2305843009214444086","AST"
"2305843009214444083","2305843009214444084","AST"
"2305843009214444083","2305843009214444085","AST"
"2305843009214444086","2305843009214444087","AST"
"2305843009214444088","2305843009214444089","AST"
"2305843009214444088","2305843009214444091","AST"
"2305843009214444088","2305843009214444092","AST"
"2305843009214444089","2305843009214444090","AST"
"2305843009214444092","2305843009214444093","AST"
"2305843009214444094","2305843009214444095","AST"
"2305843009214444094","2305843009214444098","AST"
"2305843009214444095","2305843009214444096","AST"
"2305843009214444095","2305843009214444097","AST"
"2305843009214444099","2305843009214444100","AST"
"2305843009214444099","2305843009214444105","AST"
"2305843009214444100","2305843009214444101","AST"
"2305843009214444100","2305843009214444104","AST"
"2305843009214444101","2305843009214444102","AST"
"2305843009214444101","2305843009214444103","AST"
"2305843009214444106","2305843009214444107","AST"
"2305843009214444106","2305843009214444110","AST"
"2305843009214444107","2305843009214444108","AST"
"2305843009214444107","2305843009214444109","AST"
"2305843009214444110","2305843009214444111","AST"
"2305843009214444112","2305843009214444113","AST"
"2305843009214444112","2305843009214444123","AST"
"2305843009214444113","2305843009214444114","AST"
"2305843009214444113","2305843009214444115","AST"
"2305843009214444115","2305843009214444116","AST"
"2305843009214444115","2305843009214444117","AST"
"2305843009214444115","2305843009214444121","AST"
"2305843009214444117","2305843009214444118","AST"
"2305843009214444117","2305843009214444119","AST"
"2305843009214444119","2305843009214444120","AST"
"2305843009214444121","2305843009214444122","AST"
"2305843009214444123","2305843009214444124","AST"
"2305843009214444125","2305843009214444126","AST"
"2305843009214444125","2305843009214444131","AST"
"2305843009214444126","2305843009214444127","AST"
"2305843009214444126","2305843009214444128","AST"
"2305843009214444128","2305843009214444129","AST"
"2305843009214444128","2305843009214444130","AST"
"2305843009214444131","2305843009214444132","AST"
"2305843009214444133","2305843009214444134","AST"
"2305843009214444133","2305843009214444135","AST"
"2305843009214444135","2305843009214444136","AST"
"2305843009214444135","2305843009214444137","AST"
"2305843009214444135","2305843009214444138","AST"
"2305843009214444139","2305843009214444140","AST"
"2305843009214444139","2305843009214444143","AST"
"2305843009214444140","2305843009214444141","AST"
"2305843009214444140","2305843009214444142","AST"
"2305843009214444143","2305843009214444144","AST"
"2305843009214444145","2305843009214444146","AST"
"2305843009214444145","2305843009214444147","AST"
